extracted_symptom,linked_symptom
pain in the injection site,Injection site pain
COVID-19 virus infection,COVID-19
tachycardic,Tachycardia
vomiting,Vomiting
weakness,Injection site muscle weakness
chest pain,Chest pain
AKI (acute kidney injury,Acute kidney injury
fever,Pyrexia
elevated,Atelectasis
chills,Chills
fatigued,Fatigue
decreased appetite,Decreased appetite
PE,Alopecia
myalgias,Myalgia
non productive cough,Productive cough
COVID-19,COVID-19
AKI,Pollakiuria
abdominal pain,Abdominal pain
fatigue,Fatigue
hypoxic,Hypoxic-ischaemic encephalopathy
nausea,Nausea
diarrhea,Diarrhoea
nasal congestion,Nasal congestion
swollen,Swollen tongue
cough,Cough
pain,Pain
sleep apnea diagnostic,Tic
pain in my shoulders and legs,Pain
stiff,Joint stiffness
painful,Pain
chest pain,Chest pain
sore,Abdominal tenderness
ANOSMIA,Anosmia
headaches,Headache
IMMUNISATION REACTION,Immunisation reaction
migraines,Migraine
VOMITING (vomiting profusely,Vomiting
symptoms,Lower urinary tract symptoms
VOMITING (vomiting profusely) outcome,Vomiting
vomiting,Vomiting
MIGRAINE,Migraine
adverse events,Adverse event
ILLNESS,Illness
Leukemia,Chronic lymphocytic leukaemia
Colon cancer,Colon cancer
headache,Headache
elevated,Atelectasis
nausea,Nausea
dizziness,Dizziness
allergy,Allergy test
vaccination site rash,Vaccination site rash
vaccination site warmth,Vaccination site warmth
ERYTHEMA (non-serious),Erythema
VACCINATION SITE RASH (non-serious),Vaccination site rash
adverse event,Adverse event
erythema,Erythema
Paralysis at injection site,Injection
Temperature Excursion,Product temperature excursion issue
NAUSEA,Nausea
HEADACHES,Headache
No adverse event,No adverse event
congestion,Ear congestion
symptoms,Lower urinary tract symptoms
weighted head feeling,Weight
a terrible headache,Headache
the headache,Headache
coughing,Cough
terrible sneezing,Sneezing
cough syrup,Cough
Coughing,Cough
symptom,Allergic respiratory symptom
unintentional overdose,Intentional overdose
chronic hypotension,Hypotension
hypercapnia,Hypercapnia
confusion,Confusional state
Significant expiratory wheezing,Wheezing
dyspnea,Dyspnoea
hypothyroidism,Hypothyroidism
hypoxia,Hypoxia
viral infection,Viral infection
hypercapnia COPD exacerbation,Hypercapnia
Epistaxis,Epistaxis
mental status changes,Mental status changes
Hypotension,Hypotension
Chronic hypotension,Hypotension
Atrial fibrillation,Atrial fibrillation
hypotension,Hypotension
AKI,Pollakiuria
Anxiety,Anxiety
adverse events,Adverse event
Acute toxic metabolic encephalopathy,Encephalopathy
right anterior epistaxis,Epistaxis
Acute on chronic respiratory failure,Acute respiratory failure
Hypothyroidism,Hypothyroidism
a pain,Pain
the sever pain flares,Pain
this nerve pain,Pain
This pain,Pain
radiates pain,Pain
this severe nerve pain cycle,Pain
Bruising,Injection site bruising
headache,Headache
swollen,Swollen tongue
nausea,Nausea
hard,Severe acute respiratory syndrome
chills,Chills
sweats,Night sweats
injection site,Injection site mass
adverse reaction,Adverse reaction
swollen,Swollen tongue
vomiting,Vomiting
aches,Computerised tomogram spine
shooting pains,Pain
No adverse event,No adverse event
acne,Acne
headaches,Headache
fatigue,Fatigue
elevated,Atelectasis
migraines,Migraine
symptoms,Lower urinary tract symptoms
scratchy,Scratch
nasal congestion,Nasal congestion
cough,Cough
warm,Injection site warmth
Symptoms,Lower urinary tract symptoms
sneezing,Sneezing
symptoms,Lower urinary tract symptoms
malaise,Malaise
nasal congestion,Nasal congestion
symptom,Allergic respiratory symptom
fever,Pyrexia
fatigue,Fatigue
congestion,Ear congestion
Symptoms,Lower urinary tract symptoms
PAIN IN EXTREMITY,Pain in extremity
sore,Abdominal tenderness
VACCINATION COMPLICATION,Vaccination complication
MSSA Pneumonia,Pneumonia
an E. coli urinary tract infection,Urinary tract infection
hypoxic,Hypoxic-ischaemic encephalopathy
an infection,Infection
elevated,Atelectasis
any pericardial effusion,Pericardial effusion
myopericarditis,Myopericarditis
symptoms,Lower urinary tract symptoms
acute onset chest pain,Chest pain
anemia,Anaemia
metastatic colon cancer,Colon cancer metastatic
headaches,Headache
Fatigue,Fatigue
vertigo,Vertigo
headache,Headache
fever,Pyrexia
allergy,Allergy test
congestion,Ear congestion
COVID in pregnancy,Pregnancy
gHTN,Muscle tightness
labor,Laboratory test
Intrauterine pregnancy,Pregnancy
uncomplicated,Herpes simplex
weight gain,Weight
depression,Depression
pain,Pain
warmness,Tenderness
irritability,Irritability
Fever,Pyrexia
sharp pain,Pain
symptoms,Lower urinary tract symptoms
SWOLLEN TONGUE,Swollen tongue
Angioedema,Angioedema
Urticaria,Urticaria
URTICARIA,Urticaria
swollen tongue,Swollen tongue
adverse events,Adverse event
tongue swelling,Swelling
angioedema,Angioedema
Asthma,Asthma
urticaria,Urticaria
ANGIOEDEMA,Angioedema
"angioedema top and bottom lip, right side",Angioedema
increased blood pressure,Blood pressure diastolic increased
nonproductive cough,Productive cough
anxiety,Anxiety
hypotension,Hypotension
AKI,Pollakiuria
bradycardia,Bradycardia
Covid-19 PNA,COVID-19
focal sensory loss,Sensory loss
worsening left-sided pleural effusion,Effusion
SARS,Exposure to SARS-CoV-2
worsening cough,Cough
left-sided pleural effusion,Effusion
diarrhea,Diarrhoea
UTI,Therapeutic procedure
pain,Pain
diarrhea,Diarrhoea
burning,Burning mouth syndrome
Injection site swelling,Injection site swelling
Vomiting,Vomiting
Joint swelling,Joint swelling
Fever,Pyrexia
Hives,Urticaria
Extreme fatigue,Fatigue
PYREXIA,Pyrexia
Plaque psoriasis,Psoriasis
fever,Pyrexia
plaque psoriasis,Psoriasis
first injection reaction,Injection
plaque psoriasis),Psoriasis
PSORIASIS,Psoriasis
flare,Oral mucosal eruption
Flare,Oral mucosal eruption
VACCINATION SITE PAIN,Vaccination site pain
First injection reaction,Injection
sore,Abdominal tenderness
fever,Pyrexia
migraines,Migraine
palpitations,Palpitations
elevated inflammation,Inflammation
PRODUCT TEMPERATURE EXCURSION ISSUE,Product temperature excursion issue
hypertension,Hypertension
schizophrenia,Dementia
"""suicidal ideation""",Suicidal ideation
depression,Depression
THYROID DISORDER,Thyroid disorder
hyperthyroidism,Hyperthyroidism
GENERALIZED TONIC CLONIC SEIZURES,Generalised tonic-clonic seizure
iron deficiency,Iron deficiency
COVID-19 virus infection,COVID-19
renal cysts,Renal cyst
COVID-19 infection,COVID-19
infection,Infection
urinary tract infection,Urinary tract infection
Acute kidney injury,Acute kidney injury
recent fall,Fall
AKI,Pollakiuria
hypertension,Hypertension
bolus pemphigoid,Pemphigoid
hematuria,Haematuria
hyponatremia,Hyponatraemia
No adverse event,No adverse event
No adverse event,No adverse event
fever,Pyrexia
achy,Atrial tachycardia
fatigue,Fatigue
congestion,Ear congestion
I coughed up a lot of phlegm,Cough
sinus congestion,Sinus congestion
Heart Palpitations,Palpitations
severe chills,Chills
fatigue,Fatigue
heart palpitations,Palpitations
Chest pain,Chest pain
chest pain,Chest pain
Breakthrough COVID infection,Infection
Depression,Depression
PERIPHERAL SWELLING,Peripheral swelling
road rash,Rash
swollen,Swollen tongue
Relapsing-remitting multiple sclerosis,Multiple sclerosis
PIGMENTATION DISORDER,Pigmentation disorder
Anxiety,Anxiety
RASH,Rash
ERYTHEMA,Erythema
Pain,Pain
red,Extra dose administered
Relapsing remitting multiple sclerosis),Multiple sclerosis
purple,Tic
Pain,Pain
"swelling in joints of feet,  hips and shoulders",Swelling
a headache,Headache
lethargy,Lethargy
cough,Cough
No adverse event,No adverse event
elevated,Atelectasis
Polymyalgia Rheumatica,Polymyalgia rheumatica
swelling,Swelling
some swelling of his both antecubital fossa,Swelling
Muscle Injury,Muscle injury
symptoms,Lower urinary tract symptoms
increased pain in thighs,Pain
initial pain,Pain
Polymyositis,Myositis
sharp pain,Pain
nausea,Nausea
nauseous,Nausea
the nausea,Nausea
weak,Injection site muscle weakness
a urinary tract infection,Urinary tract infection
my nausea,Nausea
No adverse event,No adverse event
cough drops,Cough
headache,Headache
a slight cough,Cough
a lingering cough,Cough
superficial pre-vascular dermatitis,Dermatitis
the rash,Rash
A purple/red rash,Rash
"Cyclic neutropenia""",Neutropenia
vaccination failure,Vaccination failure
the malaise,Malaise
hyperhidrosis,Hyperhidrosis
lipomas,Lipoma
my lipomas,Lipoma
pain,Pain
my back pain,Back pain
heart palpitations,Palpitations
back pain,Back pain
4 lipomas,Lipoma
more lipomas,Lipoma
mold poisoning,Poisoning
chest pains,Chest pain
fatigue,Fatigue
infiltration,Lung infiltration
scapular dyskinesia,Dyskinesia
inflammation,Inflammation
a large circumferential pericardial effusion,Effusion
intermittent chest pain,Chest pain
chest pain,Chest pain
The sneezing and runny nose,Sneezing
sneezing,Sneezing
No adverse event,No adverse event
severe encephalopathy,Encephalopathy
some hypoxia,Hypoxia
myoclonus,Clonus
the rash,Rash
This rash,Rash
The rash,Rash
symptoms,Lower urinary tract symptoms
a red rash,Rash
irritated,Febrile convulsion
Scratching,Scratch
the rash,Rash
rubbing,Scratch
SCRATCH (Scratching/rubbing,Scratch
scratching/rubbing,Scratch
a rash,Rash
RASH,Rash
SCRATCH,Scratch
VACCINATION SITE PRURITUS,Vaccination site pruritus
Scratching/rubbing,Scratch
injection site,Injection site mass
Rash s,Rash
itching,Muscle twitching
Obesity,Obesity
vaccination failure,Vaccination failure
the events vaccination failure,Vaccination failure
No adverse event,No adverse event
joint,Aspiration joint
a dry scratchy cough,Cough
a headache,Headache
sweating,Hyperhidrosis
pain,Pain
a lingering cough,Cough
a scratchy sore throat,Scratch
chills,Chills
unproductive cough,Productive cough
aches,Computerised tomogram spine
muscle pain,Pain
excessive sneezing,Sneezing
pain in her armpit area,Pain
AXILLARY PAIN,Axillary pain
twitching,Muscle twitching
FEELING ABNORMAL,Feeling abnormal
Allergy,Allergy test
MUSCLE TWITCHING,Muscle twitching
EAR DISCOMFORT,Ear discomfort
Feeling abnormal,Feeling abnormal
PAIN IN EXTREMITY,Pain in extremity
Ear discomfort,Ear discomfort
Allergic,Allergic reaction to excipient
No adverse event,No adverse event
redness,Inflammation
bumps,Swelling
a rash,Rash
The rash,Rash
asymptomatic,Asymptomatic COVID-19
fall,Fall
rhabdomyolysis,Rhabdomyolysis
opioid induced constipation,Constipation
prostate cancer,Prostate cancer
ground level fall,Fall
breakthrough pain,Breakthrough pain
ventricular tachycardia,Ventricular tachycardia
some mild nausea,Nausea
congestion,Ear congestion
chills,Chills
FATIGUE (non-serious),Fatigue
an occasional dry cough,Cough
"""fatigue",Fatigue
RHINORRHOEA,Rhinorrhoea
COUGH,Cough
extreme hand pain,Pain
the pain,Pain
Failure to thrive,Failure to thrive
severe dysphagia-NPO,Dysphagia
dementia,Dementia
2 large cholelithiasis,Cholelithiasis
Lethargic,Tic
encephalopathy,Encephalopathy
-Moderate right -sided compressive atelectasis,Atelectasis
sepsis Covid pna.,Sepsis
acute delirium,Delirium
oropharygeal dysphagia,Dysphagia
CT chest-RLL plueral effusion,Effusion
UTI,Therapeutic procedure
Adult failure to thrive,Adult failure to thrive
acute metabolic/toxic encephalopathy,Encephalopathy
colitis,Colitis
baricitnib active sepsis,Sepsis
No adverse event,No adverse event
cough,Cough
failure,Acute left ventricular failure
No adverse event,No adverse event
a productive cough,Productive cough
vomiting,Vomiting
this headache,Headache
fever,Pyrexia
The cough,Cough
severe,Severe acute respiratory syndrome
headaches,Headache
headache,Headache
some headache,Headache
the headache,Headache
nausea,Nausea
cough,Cough
IMMUNISATION REACTION,Immunisation reaction
Visual impairment,Visual impairment
Vaccination related malaise,Malaise
Rheumatoid arthritis,Rheumatoid arthritis
TREMOR,Tremor
Knee swelling,Swelling
ASTHENIA (Weakness),Asthenia
Shaking,Palpitations
JOINT SWELLING,Joint swelling
Hip arthropathy,Arthropathy
weak,Injection site muscle weakness
ARTHROPATHY (Hip arthropathy),Arthropathy
VISUAL IMPAIRMENT,Visual impairment
Visual impairment),Visual impairment
TREMOR (Shaking),Tremor
Weakness,Injection site muscle weakness
malaise,Malaise
PYREXIA,Pyrexia
Type II diabetes mellitus,Diabetes mellitus
fever,Pyrexia
reactions,Adverse drug reaction
pain,Pain
a new chronic illness,Illness
The arthralgias,Arthralgia
"arthralgias in hands, wrist, elbows",Arthralgia
covid pneumonia,COVID-19 pneumonia
No adverse event,No adverse event
"Severe headaches""",Headache
FATIGUE,Fatigue
HEADACHE,Headache
swelling of his face,Swelling
SWELLING FACE,Swelling face
Facial swelling,Swelling
Severe headaches,Headache
chronic cholecystitis,Cholecystitis chronic
a swollen nodule on the neck,Nodule
red,Extra dose administered
painful,Pain
chest pain,Chest pain
cirrhosis,Hepatic cirrhosis
mildly displaced R femoral neck fracture,Femoral neck fracture
severe R hip pain,Pain
chronic back pain,Back pain
anxiety,Anxiety
bruising,Injection site bruising
pancytopenic,Pancytopenia
dizziness,Dizziness
pneumothorax,Pneumothorax
CAD,Wheelchair user
displacement,Fracture displacement
L lateral 9th rib fracture,Rib fracture
depression,Depression
headache,Headache
pain,Pain
cough,Cough
swelling at the injection site,Injection site swelling
pain in my face,Pain
pain,Pain
the rash on my legs,Rash
a red rash on both legs,Rash
Hypothyroidism,Hypothyroidism
Migraines,Migraine
Numbness,Apathy
Covid-19 arm-rashes,COVID-19
Fatigue,Fatigue
nonproductive cough,Productive cough
COVID,Asymptomatic COVID-19
CAD,Wheelchair user
chills,Chills
fevers,Pyrexia
CVA,Cerebrovascular accident
Metabolic acidosis   AKI,Metabolic acidosis
lesions,Wound
edema,Oedema
rashes,Rash
bacterial   Acute respiratory failure,Acute respiratory failure
hypoxia   Alzheimer's dementia,Dementia
NSTEMI (non-ST elevated myocardial infarction,Myocardial infarction
adenopathy,Hilar lymphadenopathy
unresponsive,Unresponsive to stimuli
acute kidney injury),Acute kidney injury
Pneumonia,Pneumonia
acute   COVID-19 virus infection,COVID-19
No adverse event,No adverse event
ADVERSE EVENT,Adverse event
adverse event,Adverse event
eosinophilic esophagitis,Eosinophilic oesophagitis
"""abdominal pain",Abdominal pain
No adverse event,No adverse event
No adverse event,No adverse event
dyspnea,Dyspnoea
a spontaneous tension pneumothorax of Left lung,Pneumothorax
Blebs,Blister
chest pain,Chest pain
occasional chest pains,Chest pain
chronic cough,Cough
No adverse event,No adverse event
No adverse event,No adverse event
acute pancreatitis,Pancreatitis acute
severe abdominal pain,Abdominal pain
Severe headache,Headache
fever,Pyrexia
nausea,Nausea
chills,Chills
sneezing,Sneezing
slight cough,Cough
severe abdominal pain,Abdominal pain
nausea,Nausea
diarrhea,Diarrhoea
chills,Chills
a cough,Cough
symptoms,Lower urinary tract symptoms
vomiting,Vomiting
decreased appetite,Decreased appetite
Bilateral pneumonia,Pneumonia
leukocytosis,Leukocytosis
pain in his chest and upper back,Pain
cough,Cough
dry cough,Cough
general malaise,Malaise
PYREXIA,Pyrexia
Fatigued,Fatigue
FATIGUE,Fatigue
fatigued,Fatigue
BACK PAIN,Back pain
fever,Pyrexia
chills,Chills
nodules,Nodule
dyspnea,Dyspnoea
acute injury,Injury
AKI,Pollakiuria
LOC,Atrioventricular block
COVID pneumonia,COVID-19 pneumonia
borderline hypotension,Hypotension
COVID,Asymptomatic COVID-19
hyperglycemia,Hyperglycaemia
super therapeutic INR,Tic
weakness,Injection site muscle weakness
the pain,Pain
the chest pain,Chest pain
nauseous,Nausea
The pain,Pain
chest pain,Chest pain
constipation,Constipation
headache,Headache
my COVID-19 symptoms,COVID-19
COVID-19,COVID-19
cough,Cough
extreme migraine like headaches,Headache
vomiting,Vomiting
No adverse event,No adverse event
No adverse event,No adverse event
No adverse event,No adverse event
a severe headache,Headache
nauseous,Nausea
ADVERSE EVENT,Adverse event
adverse event,Adverse event
headaches,Headache
Fever,Pyrexia
No adverse event,No adverse event
DIZZINESS,Dizziness
more fatigue,Fatigue
injection site pain,Injection site pain
FATIGUE,Fatigue
some dizziness,Dizziness
VACCINATION SITE PAIN,Vaccination site pain
"some dizziness""",Dizziness
mild fatigue,Fatigue
PAIN,Pain
"diabetes""",Diabetes mellitus
aching,Computerised tomogram spine
symptoms,Lower urinary tract symptoms
Headache,Headache
edema,Oedema
anemia,Anaemia
abdominal pain,Abdominal pain
Lacti acisosis,Lactic acidosis
Acute kidney injury,Acute kidney injury
pleural effusion,Pleural effusion
Severe sepsis,Sepsis
thrombocytopenia,Thrombocytopenia
metastic malignant neoplasm,Neoplasm
metastatic colon cancer,Colon cancer metastatic
No adverse event,No adverse event
heavy sneezing,Sneezing
symptoms,Lower urinary tract symptoms
my drainage,Drainage
HEADACHE,Headache
a headache,Headache
nausea,Nausea
Pain at injection site,Injection site pain
proctitis,Proctitis
vomiting,Vomiting
weakness,Injection site muscle weakness
STEMI,Systemic inflammatory response syndrome
exertional,Dyspnoea exertional
chest pain,Chest pain
Giant cell arteritis,Giant cell arteritis
PYREXIA,Pyrexia
headache,Headache
Feverish,Febrile convulsion
HEADACHE,Headache
pain,Pain
PAIN,Pain
Achy,Atrial tachycardia
Headache,Headache
pyrexia,Pyrexia
shivering,Chills
cold,Cold sweat
the headaches,Headache
a light headache,Headache
the headache,Headache
coughing,Cough
nausea,Nausea
The cough,Cough
the worst headache,Headache
a cough,Cough
sleep,Obstructive sleep apnoea syndrome
The headaches,Headache
extreme fatigue,Fatigue
a debilitating headache,Headache
Covid-19 infection,COVID-19
night sweats,Night sweats
constant coughing fits,Cough
pneumonia,Pneumonia
dry cough,Cough
fever,Pyrexia
chills,Chills
back pain,Back pain
Symptoms,Lower urinary tract symptoms
strong back/rib cage pain,Pain
lingering fatigue,Fatigue
headache,Headache
fatigue,Fatigue
nausea,Nausea
diarrhea,Diarrhoea
pain when breathing,Pain
lightheaded,Pupillary light reflex tests abnormal
